	100%		백퍼센트	2012-09-18	TOP Media	4	7	Perfection	Yes
	14U		원포유	2017-04-17	BG	14	14		No
	1TEAM		원팀	2019-03-27	LiveWorks	5	5		No
Profile	1the9		원더나인	2019-02-09	MBK	9	9		Yes
	24K		투포케이	2012-09-06	Choeun	5	6	24U	Yes
	2AM		투에이엠	2008-06-21	JYP, Big Hit	4	4	I Am	No
	2PM		투피엠	2008-07-04	JYP	6	7	Hottest	Yes
	2Z	Tuzi	투지	2020-01-14	Morph	5	5		Yes
	8Eight		에이트	2007-09-06	Big Hit	3	3	Sweet Voice	No
	8TURN		에잇턴	2023-01-30	MNH	8	8		Yes
	A-JAX		에이젝스	2012-06-01	DSP	5	7	A-LIGHT	No
	A.C.E	ACE	에이스	2017-05-23	Beat	5	5	Choice	Yes
	A.cian		에이션	2012-10-10	Wings	4	5		No
	A6P		에이식스피	2015-05-20	DS	6	6		No
Profile	AB6IX		에이비식스	2019-05-22	Brand New	4	5	ABNEW	Yes
	ABLUE		에이블루	2022-10-23	J-Star	7	6	BLUEVERY	Yes
Profile	AIMERS		에이머스	2022-11-17	Hyper Rhythm	6	6	AIMING	Yes
	AlphaBat		알파벳	2013-11-14	Simtong	5	9		Yes
	AMPERS&ONE		앰퍼샌드원	2023-11-15	FNC	7	7		Yes
	ANTARES		안타레스	2023-04-16	J-Star	6	6		Yes
	ARGON		아르곤	2019-03-11	MSH	6	6	A-Rang	Yes
	ASTRO		아스트로	2016-02-23	Fantagio	4	6	AROHA	Yes
	ATBO		에이티비오	2022-07-27	IST	7	7	BOAT	Yes
Profile	ATEEZ		에이티즈	2018-10-24	KQ	8	8		Yes
	AWEEK		어위크	2019-01-31	Illusion	7	7		Yes
Profile	B.A.P	BAP	비에이피	2012-01-27	TS	6	6	BABY	No
	B.Heart		비하트	2017-01-25	Poong	4	4		Yes
Profile	B.I.G		비아이지	2014-07-09	GH	4	5		Yes
	B.O.Y		비오브유	2020-01-20	Music Works	2	2		Yes
Profile	B1A4		비원에이포	2010-04-19	WM	5	5	BANA	Yes
	BAE173		비에이이173	2020-11-19	PocketDol	9	9		Yes
	Be.A		비에이	2017-05-25	Chrome	3	5		Yes
	Beatwin		비트윈	2014-01-06	Elen	2	6		Hiatus
Profile	BIGBANG		빅뱅	2006-08-19	YG	4	5	VIP	Yes
	Bigflo		빅플로	2014-07-19	HO	5	5		Yes
	BIGSTAR		빅스타	2012-07-12	Brave	5	5		No
	Black Level		블랙 레벨	2022-02-26	VT	2	6	WE.B	Hiatus
	BLACK6IX		블랙식스	2017-04-07	BLACK HOLE	6	6		Yes
	Blanc7		블랑세븐	2017-03-03	Jackpot	7	7	Prism	No
	BLANK2Y		블랭키	2022-05-24	Keystone	9	9		Yes
Profile	BLITZERS		블리처스	2021-05-12	Wuzo	7	7		Yes
	BLK		비엘케이	2017-11-28	Byking	7	7		No
Profile	Block B		블락비	2011-04-15	KQ	7	7	BBC	Yes
	Boyfriend		보이프렌드	2011-05-26	Starship	6	6	Bestfriend	No
Profile	BOYNEXTDOOR		보이넥스트도어	2023-05-30	KOZ	6	6		Yes
	Boys Republic		소년공화국	2013-06-03	Happy Tribe, Universal	5	5	Royal Family	Hiatus
Profile	BtoB		비투비	2012-03-21	Cube	6	7	Melody	Yes
Profile	BTS	Bangtan Boys	방탄소년단	2013-06-13	Big Hit	7	7	ARMY	Yes
	BXB		비엑스비	2023-01-30	Wolfburn	5	5		Yes
	BXK	Boys X King	비엑스케이	2020-11-02	New Planet	6	6		Yes
	C-Clown		씨클라운	2012-06-19	Yedang	6	6	Crown	No
	Catch The Young		캐치더영	2023-11-01	Evermore	5	5		Yes
Profile	CICI		씨씨	2019-06-27	UPVOTE	4	4		No
Profile	Ciipher		싸이퍼	2021-03-15	Rain	7	7		Yes
Profile	CIX		씨아이엑스	2019-07-23	C9	5	5		Yes
Profile	CMDM		커맨더맨	2023-04-27	Command the M	6	6		Yes
	CNBLUE		씨엔블루	2010-01-14	FNC	4	4	Boice	Yes
Profile	CRAVITY		크래비티	2020-04-14	Starship	9	9		Yes
	CROSS GENE		크로스진	2012-07-08	Amuse	5	6	Chromosome	Yes
	D-Crunch		디크런치	2018-08-06	All-S	9	9		Yes
	D.COY		디코이	2020-02-19	Rolling	5	5		Yes
Profile	D1CE		디원스	2019-08-01	Happyface	5	5	Don1y	Yes
	Dalmatian	DMTN	달마시안	2010-09-01	Monkey Funch	7	7	Dalmate	No
	DAY6		데이식스	2015-09-07	JYP	5	6		Yes
Profile	DKB	Darkbee	다크비	2020-02-03	Brave	9	9		Yes
	DONGKIZ		동키즈	2019-04-24	Dongyo	5	5		Yes
Profile	DRIPPIN		드리핀	2020-10-26	Woollim	7	7		Yes
	Dustin		더스틴	2020-01-06	LPA	7	7	The Sten	Yes
	E'LAST		엘라스트	2020-06-09	E Entertainment	8	8		Yes
Profile	ENHYPEN		엔하이픈	2020-11-30	Be:lift	7	7	ENGENE	Yes
Profile	ENOi		이엔오아이	2019-04-19	KITHEWHALE	7	7		No
Profile	EPEX		이펙스	2021-06-08	C9	8	8	ZENITH	Yes
	EVNNE		이븐	2023-09-19	Jellyfish	7	7		Yes
Profile	EXO		엑소	2012-04-08	SM	9	12	EXO-L	Yes
	F.able		페이블	2020-06-04	Haerium	5	5		Yes
	Fantasy Boys		판타지보이즈	2023-09-21	PocketDol	11	12	Bandi	Yes
	Fly to the Sky		플라이 투 더 스카이	1999-11-21	SM, H2	2	2	Fly High	Yes
	FTISLAND		에프티 아일랜드	2007-06-07	FNC	4	5	Primadonna	Yes
	g.o.d.		지오디	1999-01-26	JYP, SidusHQ	5	5	Fan God	Yes
Profile	Ghost9		고스트나인	2020-09-23	Maroo	7	9		Yes
Profile	Golden Child		골든 차일드	2017-08-28	Woollim	10	11		Yes
Profile	GOT7		갓세븐	2014-01-16	JYP	7	7	I GOT7	Hiatus
	GreatGuys		멋진녀석들	2017-08-25	DNA	9	9	Grace	Yes
	H.B.Y	Hot Blood Youth	열혈남아	2017-08-16	Rainbow	5	5		Yes
	H.O.T		에이치오티	1996-09-07	SM	5	5	Club H.O.T	No
	HALO		헤일로	2014-07-26	Histar	6	6		Yes
	HAWW		하우	2023-02-23	Biscuit	7	7		Yes
	HIGH4		하이포	2014-04-08	NAP	4	4		No
	Highlight	Beast	하이라이트	2009-10-14	Around Us	4	6	B2uty	Yes
	HISTORY		히스토리	2013-04-26	LOEN	5	5	Storia	No
	Homme		옴므	2010-06-28	Big Hit	2	2		No
	Honeyst		허니스트	2017-05-17	FNC	4	4		Yes
	Hotshot		핫샷	2014-10-29	Star Crew	5	6		No
Profile	iKON		아이콘	2015-09-15	YG	6	7	iKONIC	Yes
	Imfact		임팩트	2016-01-27	Star Empire	5	5		Yes
	Infinite		인피니트	2010-06-09	Woollim	6	7	Inspirit	Yes
	INX		인엑스	2016-08-02	NA	5	5		No
	IZ		아이즈	2017-08-31	Music K	4	4		Yes
Profile	JBJ		제이비제이	2017-10-18	Fave	6	6		No
	JBJ95		제이비제이95	2018-10-30	Hunus	2	2		Yes
	JJCC		제이제이씨씨	2014-03-13	Jackie Chan Group	5	6		No
