profile	stage_name	full_name	korean_name	korean_stage_name	date_of_birth	group	country	second_country	height	weight	birthplace	other_group	former_group	gender	position	instagram	twitter
	A.M	Seong Hyunwoo	성현우	에이엠	1996-12-31	Limitless	South Korea		181	62				M			
	Ace	Jang Wooyoung	장우영	에이스	1992-08-28	VAV	South Korea		177	63				M			
	Aeji	Kwon Aeji	권애지	애지	1999-10-25	Hashtag	South Korea		163	0	Daegu			F			
Profile	AhIn	Lee Ahin	이아인	아인	1999-09-27	MOMOLAND	South Korea		160	44	Wonju			F			
	Ahra	Go Ahra	고아라	아라	2001-02-21	Favorite	South Korea		0	0	Yeosu			F			
	Ahyoon	Choi Subin	최수빈	아윤	2004-10-23	BOTOPASS	South Korea		0	0				F			
Profile	Ahyoung	Cho Jayoung	조자영	아영	1991-05-26	Dal Shabet	South Korea		0	0	Seoul			F			
	Ahyung	Kang Ahyoung	강아형	아형	1996-08-27	P.O.P	South Korea		0	0	Pohang			F			
	Ailee	Lee Yejin	이예진	에일리	1989-05-30		South Korea	USA	165	0	Denver			F		aileeonline	
	Aini	Kim Heejung	김희정	아이니	1991-07-13		South Korea		163	44			Pink Fantasy	F			
Profile	Aisha	Heo Yoorim	허유림	아샤	2000-07-21	Everglow	South Korea		0	0				F			
	Aki	Jang Minju	장민주	아키	2001-02-12	MAJORS	South Korea		168	48				F			
	Alex	Alexander Schmidt Lee	알렉산더 슈미트 리	알렉스	2002-07-09	DRIPPIN	Germany	South Korea	180	0				M			
	AleXa	Kim Seri	김세리	알렉사	1996-12-06		USA		0	0				F			
Profile	Alice	Song Joohee	송주희	앨리스	1990-03-21	Hello Venus	South Korea		166	47	Wonju			F		jh.song_alice	
	Allen	Allen Ma	앨런 마	앨런	1999-04-26	CRAVITY	USA	South Korea	0	0				M			
	Amber	Amber Josephine Liu	엠버 조세핀 리우	엠버	1992-09-18	f(x)	USA	Taiwan	167	0	Los Angeles			F		ajol_llama	
	Andy	Lee Sunho	이선호	앤디	1981-01-21	Shinhwa	South Korea		175	62	Seoul			M			
	Anne	Lee Seoyoung	이서영	앤	2000-10-17	GWSN	South Korea		0	0				F			
	Anthony	Anthony Lo	엔써니 루오	엔써니	1998-03-12	VARSITY	China	USA	179	0				M			
Profile	Arang	Son Mnjung	손민정	아랑	2000-03-08		South Korea		0	0			NeonPunch	F		sunghyuk_seo	
	Arang	Park Yerim	박예림	아랑	2001-01-22	Pink Fantasy	South Korea		167	49				F			
